epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0165,1.23979,2.7237,1.60872,0.44458,0.62612,0.49898,0.34516,0.96845,1.77281,1.50712,0.0676429,0.000335211,0.000335211
2,24.9679,1.04402,1.55218,1.43878,0.59774,0.73707,0.70876,0.50454,0.94572,1.26479,1.40015,0.0346379,0.00066359,0.00066359
3,36.9183,0.93237,1.11824,1.3222,0.70718,0.80897,0.80668,0.58517,0.89219,0.93788,1.3662,0.00161946,0.000978435,0.000978435
4,48.865,0.86663,0.83749,1.26302,0.85503,0.82711,0.90194,0.6769,0.83866,0.65569,1.31274,0.000964445,0.000964445,0.000964445
5,60.8107,0.87143,0.73409,1.24535,0.86358,0.86589,0.91898,0.69683,0.82757,0.58202,1.29236,0.000944143,0.000944143,0.000944143
6,72.8949,0.82234,0.65306,1.21153,0.89901,0.86015,0.93772,0.70929,0.81547,0.56394,1.29558,0.000923841,0.000923841,0.000923841
7,84.8767,0.8221,0.62197,1.20337,0.91922,0.88412,0.94713,0.73211,0.81182,0.51389,1.27131,0.000903539,0.000903539,0.000903539
8,96.8569,0.80769,0.59314,1.18923,0.89918,0.91947,0.94887,0.73258,0.82209,0.49301,1.26561,0.000883237,0.000883237,0.000883237
9,108.814,0.79155,0.59368,1.19595,0.89224,0.91924,0.95237,0.74418,0.79057,0.48193,1.25257,0.000862935,0.000862935,0.000862935
10,120.784,0.75752,0.54418,1.16554,0.9182,0.91291,0.9486,0.74453,0.78386,0.47153,1.23782,0.000842633,0.000842633,0.000842633
11,132.706,0.76488,0.54391,1.16254,0.90958,0.94173,0.9548,0.75502,0.79617,0.46364,1.22193,0.000822331,0.000822331,0.000822331
12,144.691,0.7557,0.52833,1.15752,0.92324,0.90952,0.95893,0.7641,0.75737,0.44746,1.20314,0.00080203,0.00080203,0.00080203
13,156.665,0.72827,0.51458,1.15017,0.89081,0.93866,0.95948,0.76203,0.75453,0.44065,1.21458,0.000781728,0.000781728,0.000781728
14,168.592,0.72417,0.49517,1.14108,0.9106,0.93732,0.95033,0.76183,0.75515,0.45603,1.1923,0.000761426,0.000761426,0.000761426
15,180.566,0.71074,0.49396,1.13046,0.92936,0.92591,0.95262,0.75367,0.76164,0.43911,1.20999,0.000741124,0.000741124,0.000741124
16,192.693,0.71339,0.48759,1.1271,0.93785,0.94008,0.9612,0.77814,0.75016,0.40821,1.1883,0.000720822,0.000720822,0.000720822
17,204.74,0.70158,0.48076,1.12415,0.9362,0.92715,0.96284,0.78307,0.74327,0.42778,1.1826,0.00070052,0.00070052,0.00070052
18,216.752,0.6874,0.46608,1.11945,0.90013,0.9573,0.95819,0.77665,0.72892,0.42699,1.18341,0.000680218,0.000680218,0.000680218
19,228.764,0.68614,0.46243,1.10225,0.92104,0.95837,0.96313,0.78369,0.7218,0.41089,1.17521,0.000659916,0.000659916,0.000659916
20,240.801,0.67638,0.45157,1.10417,0.92445,0.94027,0.96393,0.79289,0.70414,0.40136,1.15947,0.000639614,0.000639614,0.000639614
21,252.805,0.67473,0.4503,1.10537,0.92055,0.95143,0.96592,0.79475,0.7138,0.40885,1.14186,0.000619312,0.000619312,0.000619312
22,264.814,0.67422,0.44557,1.10154,0.93534,0.93391,0.96086,0.78197,0.72047,0.42191,1.16804,0.00059901,0.00059901,0.00059901
23,276.756,0.65147,0.42021,1.08514,0.92091,0.94383,0.96506,0.78865,0.7089,0.39986,1.16064,0.000578708,0.000578708,0.000578708
24,288.692,0.64622,0.43412,1.08789,0.92105,0.95461,0.96501,0.79308,0.70498,0.38938,1.17303,0.000558406,0.000558406,0.000558406
25,300.95,0.64629,0.43437,1.08644,0.91975,0.96137,0.96501,0.79566,0.6935,0.38657,1.14477,0.000538104,0.000538104,0.000538104
26,313.047,0.64092,0.42113,1.0811,0.93938,0.94415,0.96742,0.79532,0.70788,0.38535,1.16627,0.000517802,0.000517802,0.000517802
27,325.001,0.64193,0.42176,1.0855,0.93537,0.94318,0.96484,0.80231,0.70002,0.3931,1.14522,0.0004975,0.0004975,0.0004975
28,337.004,0.64341,0.42863,1.0834,0.93231,0.9495,0.96577,0.80071,0.69809,0.41065,1.14277,0.000477198,0.000477198,0.000477198
29,348.972,0.63297,0.40884,1.07606,0.93775,0.9377,0.96553,0.8005,0.69437,0.39682,1.14866,0.000456896,0.000456896,0.000456896
30,360.91,0.61528,0.40972,1.07263,0.93189,0.96405,0.96433,0.79863,0.71149,0.37191,1.17279,0.000436594,0.000436594,0.000436594
31,372.857,0.6276,0.39631,1.07328,0.93601,0.95601,0.96693,0.80197,0.70482,0.38907,1.14489,0.000416292,0.000416292,0.000416292
32,384.989,0.60483,0.38091,1.06125,0.93396,0.94933,0.97126,0.79715,0.71293,0.39649,1.16444,0.000395991,0.000395991,0.000395991
33,396.929,0.60481,0.38929,1.06099,0.93264,0.965,0.97572,0.80634,0.70532,0.37623,1.15071,0.000375689,0.000375689,0.000375689
34,409.06,0.58804,0.38652,1.05579,0.93949,0.93849,0.97304,0.80879,0.69271,0.37899,1.14697,0.000355387,0.000355387,0.000355387
35,421.05,0.60589,0.38753,1.0663,0.93422,0.95594,0.96847,0.80373,0.69568,0.37711,1.14926,0.000335085,0.000335085,0.000335085
36,432.976,0.59252,0.38688,1.05166,0.92152,0.9557,0.96888,0.80289,0.7038,0.38244,1.14914,0.000314783,0.000314783,0.000314783
37,444.922,0.59068,0.38474,1.05261,0.92963,0.95249,0.96683,0.80216,0.69481,0.37767,1.15088,0.000294481,0.000294481,0.000294481
38,456.869,0.60213,0.38764,1.05246,0.94446,0.95204,0.97117,0.80456,0.6849,0.36531,1.14574,0.000274179,0.000274179,0.000274179
39,468.921,0.59313,0.386,1.05543,0.94315,0.94786,0.97198,0.8054,0.6993,0.37236,1.15348,0.000253877,0.000253877,0.000253877
40,480.853,0.59504,0.38411,1.05145,0.937,0.96109,0.97215,0.80525,0.69971,0.36483,1.14239,0.000233575,0.000233575,0.000233575
41,493.361,0.49686,0.28453,1.02097,0.94869,0.93244,0.96407,0.79588,0.69419,0.37141,1.16064,0.000213273,0.000213273,0.000213273
42,505.437,0.48502,0.26481,1.01722,0.94828,0.93971,0.97128,0.79937,0.69993,0.375,1.14571,0.000192971,0.000192971,0.000192971
43,517.333,0.4779,0.25871,1.00619,0.94796,0.94045,0.96688,0.79776,0.69465,0.36498,1.16259,0.000172669,0.000172669,0.000172669
44,529.232,0.46899,0.25579,1.00664,0.93948,0.95121,0.96892,0.8022,0.69397,0.35899,1.16768,0.000152367,0.000152367,0.000152367
45,541.147,0.46449,0.24672,0.98486,0.93548,0.95666,0.96634,0.7971,0.69388,0.36936,1.16852,0.000132065,0.000132065,0.000132065
46,553.06,0.45793,0.24394,0.98942,0.93465,0.95491,0.96602,0.80073,0.69072,0.37067,1.15134,0.000111763,0.000111763,0.000111763
47,564.971,0.45942,0.24333,0.98744,0.92911,0.9663,0.96573,0.79826,0.69171,0.36984,1.16043,9.14613e-05,9.14613e-05,9.14613e-05
48,576.878,0.45546,0.24213,0.99019,0.92816,0.96212,0.96493,0.79988,0.69011,0.36143,1.16006,7.11594e-05,7.11594e-05,7.11594e-05
49,588.778,0.45005,0.24031,0.97865,0.94328,0.94485,0.96547,0.8017,0.68884,0.36455,1.15625,5.08574e-05,5.08574e-05,5.08574e-05
50,600.681,0.45715,0.2463,0.991,0.92372,0.9663,0.9655,0.80163,0.68569,0.36776,1.15521,3.05555e-05,3.05555e-05,3.05555e-05
