epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,726.656,0.78003,0.57535,1.16198,0.93497,0.9258,0.96711,0.75341,0.83375,0.51118,1.2643,0.0048052,0.0048052,0.0048052
28,753.661,0.75945,0.54187,1.15061,0.93949,0.92316,0.95895,0.75801,0.8278,0.52785,1.25029,0.0046054,0.0046054,0.0046054
29,780.749,0.75187,0.53029,1.14165,0.94115,0.92896,0.96619,0.76412,0.83716,0.49589,1.26381,0.0044056,0.0044056,0.0044056
30,806.909,0.75129,0.52405,1.14773,0.92989,0.93374,0.96879,0.76952,0.8571,0.49114,1.26222,0.0042058,0.0042058,0.0042058
31,833.114,0.75523,0.50999,1.14749,0.92034,0.94191,0.96922,0.77459,0.83129,0.46069,1.26856,0.004006,0.004006,0.004006
32,859.312,0.71839,0.50457,1.12971,0.92508,0.93958,0.96422,0.77071,0.83265,0.4733,1.26361,0.0038062,0.0038062,0.0038062
33,885.781,0.7173,0.49448,1.12524,0.91694,0.94576,0.97042,0.77572,0.8379,0.50416,1.26802,0.0036064,0.0036064,0.0036064
34,912.308,0.72842,0.49705,1.12875,0.9315,0.9573,0.97564,0.78816,0.79485,0.4453,1.2322,0.0034066,0.0034066,0.0034066
35,939.136,0.68224,0.48237,1.10575,0.92553,0.94527,0.97081,0.79024,0.7852,0.44079,1.21097,0.0032068,0.0032068,0.0032068
36,966.287,0.69308,0.46801,1.10715,0.93506,0.95485,0.97018,0.79003,0.79314,0.42426,1.22948,0.003007,0.003007,0.003007
37,993.856,0.67633,0.46312,1.09856,0.9327,0.94751,0.97166,0.78681,0.78017,0.41228,1.22359,0.0028072,0.0028072,0.0028072
38,1020.92,0.67944,0.44919,1.10532,0.94321,0.93634,0.97055,0.78642,0.7938,0.442,1.23935,0.0026074,0.0026074,0.0026074
39,1047.54,0.65665,0.45718,1.09195,0.94253,0.95378,0.97355,0.79543,0.77412,0.41006,1.22778,0.0024076,0.0024076,0.0024076
40,1074.69,0.66242,0.44652,1.09173,0.94626,0.9465,0.97519,0.79588,0.7935,0.44347,1.22575,0.0022078,0.0022078,0.0022078
